2024-07-06-17-12,40 root INFO use_lora: True
2024-07-06-17-12,40 root INFO max_unlearn_steps: 1000
2024-07-06-17-12,40 root INFO bad_weight: 0.5
2024-07-06-17-12,41 root INFO random_weight: 1
2024-07-06-17-12,41 root INFO normal_weight: 1
2024-07-06-17-12,41 root INFO batch_size: 2
2024-07-06-17-12,41 root INFO lr: 2e-06
2024-07-06-17-12,41 root INFO max_bad_loss: 100
2024-07-06-17-12,41 root INFO model_name: facebook/opt-1.3b
2024-07-06-17-12,41 root INFO model_save_dir: models/opt1.3b_unlearned
2024-07-06-17-12,41 root INFO save_every: 500
2024-07-06-17-12,41 root INFO log_file: logs/opt-1.3b-unlearn.log
2024-07-06-17-15,821 root INFO batch: 59, bad_loss: 2.16, current_div_loss: 3.32, 
2024-07-06-17-15,354 root INFO batch: 60, bad_loss: 2.43, current_div_loss: 3.40, 
2024-07-06-17-15,826 root INFO batch: 61, bad_loss: 2.32, current_div_loss: 3.27, 
2024-07-06-17-15,295 root INFO batch: 62, bad_loss: 2.48, current_div_loss: 3.32, 
2024-07-06-17-15,789 root INFO batch: 63, bad_loss: 2.28, current_div_loss: 3.57, 
2024-07-06-17-15,290 root INFO batch: 64, bad_loss: 2.18, current_div_loss: 4.58, 
2024-07-06-17-15,769 root INFO batch: 65, bad_loss: 2.48, current_div_loss: 3.40, 
2024-07-06-17-15,198 root INFO batch: 66, bad_loss: 2.40, current_div_loss: 3.27, 
2024-07-06-17-15,666 root INFO batch: 67, bad_loss: 2.46, current_div_loss: 3.73, 
2024-07-06-17-15,147 root INFO batch: 68, bad_loss: 2.11, current_div_loss: 3.69, 
2024-07-06-17-15,665 root INFO batch: 69, bad_loss: 2.38, current_div_loss: 4.19, 
2024-07-06-17-15,194 root INFO batch: 70, bad_loss: 2.85, current_div_loss: 3.17, 
2024-07-06-17-15,692 root INFO batch: 71, bad_loss: 2.91, current_div_loss: 4.05, 
2024-07-06-17-15,167 root INFO batch: 72, bad_loss: 2.29, current_div_loss: 3.77, 
2024-07-06-17-15,706 root INFO batch: 73, bad_loss: 2.36, current_div_loss: 4.17, 
2024-07-06-17-15,155 root INFO batch: 74, bad_loss: 2.43, current_div_loss: 3.44, 
2024-07-06-17-15,636 root INFO batch: 75, bad_loss: 2.58, current_div_loss: 3.74, 
2024-07-06-17-15,203 root INFO batch: 76, bad_loss: 2.41, current_div_loss: 3.75, 
2024-07-06-17-15,676 root INFO batch: 77, bad_loss: 2.42, current_div_loss: 3.44, 
2024-07-06-17-15,262 root INFO batch: 78, bad_loss: 2.94, current_div_loss: 2.83, 
2024-07-06-17-15,681 root INFO batch: 79, bad_loss: 2.41, current_div_loss: 3.93, 
2024-07-06-17-15,223 root INFO batch: 80, bad_loss: 2.38, current_div_loss: 3.59, 
